type	time	latitude	longitude	altitude (m)	temperature	color	name	desc
T	2017-05-27 13:39:20	37.598525863	-118.851406071	2298.7	53.7	Yellow	Current Track: 19 MAR 2016 11:59	
T	2017-05-27 13:39:47	37.598472638	-118.851418141	2298.2	53.7			
T	2017-05-27 13:40:12	37.598414635	-118.851382267	2291.0	53.7			
T	2017-05-27 13:40:45	37.598404745	-118.851377573	2295.3	53.7			
T	2017-05-27 13:41:12	37.598427543	-118.851339100	2303.9	53.7			
T	2017-05-27 13:41:32	37.598464843	-118.851326862	2308.7	53.7			
T	2017-05-27 13:41:49	37.598487977	-118.851275314	2316.4	53.7			
T	2017-05-27 13:42:07	37.598465178	-118.851307416	2317.9	53.7			
T	2017-05-27 13:42:23	37.598446319	-118.851274056	2321.2	53.7			
T	2017-05-27 13:42:38	37.598449253	-118.851269614	2321.7	53.7			
T	2017-05-27 13:42:58	37.598421927	-118.851344380	2317.4	53.7			
T	2017-05-27 13:43:27	37.598464172	-118.851381009	2315.9	53.7			
T	2017-05-27 13:43:47	37.598437183	-118.851328371	2313.6	53.7			
T	2017-05-27 13:44:01	37.598446319	-118.851291323	2308.7	53.7			
T	2017-05-27 13:44:13	37.598406337	-118.851174563	2308.7	53.7			
T	2017-05-27 13:44:27	37.598331487	-118.851010697	2307.8	53.7			
T	2017-05-27 13:44:30	37.598310951	-118.850973733	2307.8	53.7			
T	2017-05-27 13:44:37	37.598283375	-118.850884717	2306.3	53.7			
T	2017-05-27 13:44:42	37.598272562	-118.850820595	2306.3	53.7			
T	2017-05-27 13:44:48	37.598235346	-118.850747170	2304.9	53.7			
T	2017-05-27 13:45:02	37.598131327	-118.850636864	2300.6	53.7			
T	2017-05-27 13:45:08	37.598085310	-118.850573748	2300.6	53.7			
T	2017-05-27 13:45:21	37.597934185	-118.850500490	2304.4	53.7			
T	2017-05-27 13:45:29	37.597860508	-118.850469813	2304.4	53.7			
T	2017-05-27 13:45:35	37.597840224	-118.850409295	2303.9	53.7			
T	2017-05-27 13:45:49	37.597841900	-118.850305527	2304.4	53.7			
T	2017-05-27 13:46:16	37.597870566	-118.850289602	2306.3	53.7			
T	2017-05-27 13:46:26	37.597899903	-118.850149708	2304.4	53.7			
T	2017-05-27 13:46:30	37.597853299	-118.850119617	2303.0	53.7			
T	2017-05-27 13:46:44	37.597702593	-118.850044263	2303.5	53.7			
T	2017-05-27 13:46:59	37.597565465	-118.849977208	2304.4	53.7			
T	2017-05-27 13:47:11	37.597454153	-118.849954158	2303.0	53.7			
T	2017-05-27 13:47:26	37.597293472	-118.849867405	2306.8	53.7			
T	2017-05-27 13:47:30	37.597260363	-118.849841338	2307.3	53.7			
T	2017-05-27 13:47:44	37.597218286	-118.849804290	2309.2	53.7			
T	2017-05-27 13:48:03	37.597119715	-118.849730613	2312.1	53.7			
T	2017-05-27 13:48:20	37.596940175	-118.849663055	2311.6	53.7			
T	2017-05-27 13:48:36	37.596769352	-118.849618966	2313.1	53.7			
